business_id,name,latitude,longitude,business_stars,review_count,is_open
XQfwVwDr-v0ZS3_CbbE5Xw,Turning Point of North Wales,40.2101961875,-75.2236385919,3.0,169,1
YjUWPpI6HXG530lwP-fb2A,Kettle Restaurant,32.2072326,-110.9808639,3.5,47,1
kxX2SOes4o-D3ZQBkiMRfA,Zaika,40.0798480557,-75.025079772,4.0,181,1
e4Vwtrqf-wpJfwesgvdgxQ,Melt,29.962102,-90.087958,4.0,32,0
04UD14gamNjLY0IDYVhHJg,Dmitri's,39.9380132,-75.1481307,4.0,273,0
LHSTtnW3YHCeUkRDGyJOyw,Fries Rebellion,40.4075374562,-75.3388251276,3.5,103,0
gebiRewfieSdtt17PTW6Zg,Hibachi Steak House & Sushi Bar,34.4169836,-119.6955563,3.5,488,1
RZtGWDLCAtuipwaZ-UfjmQ,LaScala's,39.949529,-75.152139,3.5,367,0
otQS34_MymijPTdNBoBdCw,BK Tacos,32.2558336,-110.9605596,4.0,492,1
rBdG_23USc7DletfZ11xGA,Olio,38.6195426345,-90.2558054466,4.0,398,1
ut6fi2W2YaipNOqvi7e0jw,Upland Carmel Tap House,39.9569253992,-86.142973568,4.0,244,1
cPepkJeRMtHapc_b2Oe_dw,Naked Tchopstix Express,39.912505,-86.211285,3.5,33,0
c-IgS6Pk6vMyax7Rbr38eA,Barbecue and Bourbon,39.7854250831,-86.241454035,4.0,284,1
S2Ho8yLxhKAa26pBAm6rxA,Creole House Restaurant & Oyster Bar,29.9522129,-90.0671158,4.0,1594,1
MWmXGQ98KbRo3vsS5nZhMA,Anthony's at Paxon Hollow,39.958108,-75.371118,3.5,32,1
bMratNjTG5ZFEA6hVyr-xQ,Portobello Cafe,39.865032,-75.3440508,4.0,137,1
bbEXAEFr4RYHLlZ-HFssTA,The Original Habit Burger Grill,34.4355701009,-119.8247056485,4.0,329,1
kq5Ghhh14r-eCxlVmlyd8w,The Coventry Deli,39.953291,-75.173645,4.0,65,1
